name,title,description,imageFile
"Leigh Bernacchi, PhD","Executive Director, VISTA F3","As UC Merced has doubled in student body and footprint in the past five years, Leigh has supported faculty in accessing $100M in ag-tech grants. She ensures broader impacts and participation for community members through strategic and intentional outreach programming. UC Merced is also launching a new Experimental Smart Farm for which Leigh developed faculty visioning documents and campus support. Leigh holds a PhD from Texas A&M University and conducted post-doctoral research at the University of Idaho with a focus in technology adoption, climate change adaptation, and agriculture.",leigh_bernacchi.jpg
Alonso Ortiz,UC Merced,,alonso_ortiz.jpg
